Name,Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Bernd Leno,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.784581033012228,-0.638437884312658,0.9174612466654305,1.2789118049910304,-1.6521651088834572,-0.38779250476908567,-1.2291946946017198,-1.381345986080427,-0.8745021338145776,-0.8376720689155996,-0.38761765796559106,-1.3022460835774146,-1.2867907839558836,-1.2945636839014072,-0.8950187150988987,-0.8512065385108387,-1.1341875022066763,-0.32659136815408807,4.054381308126678,-1.0427147857043888,-0.2517529064904569,-1.072337953419657,-0.8749684644460343,-0.5658597592581707,0.8206601619385748,3.97195351822389,1.6250708773909806,3.7687390942459196,1.3461757266529506,2.1382364610037636,2.78085942139844,4.859342779646065,3.145240102418885,-1.0521053119966808,-0.4671770020615892,-1.9498368197878762,-0.7042403332510229
Héctor Bellerín,-0.40728466981809947,-0.5580867597531027,-0.31350615013075983,-0.1465695208802747,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.130508469282523,-0.638437884312658,1.7750051239541536,0.8866768991511863,0.16823317984227396,0.15542488877785623,-0.20849356978684327,0.7612504781439972,0.19184173123186024,0.11224972677443466,1.572927992083954,0.6370835994287808,0.3612953646073197,0.854934095265568,1.2881872188428742,0.0669677992912394,0.6963281359270598,0.5305109114662081,-0.27903178363709735,0.6587395534126211,0.8626204522686324,0.8517018804037446,0.6623371299610007,1.027387721473788,-0.4975032440153369,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,0.42558421457020595,-0.4671770020615892,0.09376049361428364,-0.42784439332596935
Kieran Tierney,-0.23992213061698614,-0.5580867597531027,-0.646353043661754,0.7458157331599482,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.784581033012228,-0.638437884312658,0.20284134892482802,0.8263330674835179,0.13420704360440994,-0.38779250476908567,-0.9102255930970709,-0.1452326413355669,0.24796509255009389,-0.04053489770717929,-0.38761765796559106,0.36684913540332725,0.19675648561819462,-0.14250563582883954,0.4416379791511662,-0.2809119187579952,0.22805669361377845,-0.32659136815408807,-0.5416628801076292,-0.09746237508382778,0.05425589774235768,-0.38518086991129935,0.9034056164875538,-0.5658597592581707,-0.27033676135661283,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,0.17930262680905829,-0.4671770020615892,-0.4784467541383211,-0.7042403332510229
Sokratis,-0.18920620964695187,0.3195656101366853,-0.04117687360540105,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,0.008234195751050836,-0.638437884312658,0.8091855045835211,1.3383413361788854,0.420335916513722,1.5875434717652483,-0.765239637867685,0.2293471601022695,1.3576770095242576,1.1430930231780507,1.9888013117914332,0.3644406285938312,0.9397561925288487,0.46935294472644756,-0.4494664836822104,1.5336618713646888,1.1258994590408966,-0.32659136815408807,0.413359288876123,-0.3552584870712535,1.5562910460399455,-0.07283674104386395,-0.8605977648021266,-0.19207735908645018,0.9415801198131348,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,3.910841835311298,-0.4671770020615892,1.3793689853181876,-0.5786058151032712
Rob Holding,-0.7977972612873638,-0.5580867597531027,-0.646353043661754,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.784581033012228,-0.638437884312658,1.109188536303153,0.9833251498709478,0.007646414914793302,1.7320802505360533,-0.8557674538157892,0.7893896437154249,1.4525640671853512,1.547258654699837,-0.38761765796559106,0.6828334799955001,0.5658340990244288,0.38545934897463496,-0.06911701783869598,1.2853118418315213,0.992242462000863,-0.32659136815408807,-0.5416628801076292,-1.0427147857043888,1.4727021022624647,-1.072337953419657,-0.8287018216900385,-0.36529359331236944,0.42516010788736236,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,1.1003557192491233,-0.4671770020615892,0.0917667401377938,-0.7042403332510229
Shkodran Mustafi,-0.16666580032693656,1.7823195599529986,-0.5118694503158977,-0.5290203440403702,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.07985638522264678,-0.638437884312658,1.25191298331844,1.1189092210237281,1.056177856312193,1.3680616965947672,-0.507486828570999,1.8650122930474884,2.135750882345223,2.866197615487162,1.7247547595962085,0.6459683134371439,1.6339854749668195,0.7437399758463363,-0.4269638457318726,2.9553660345465254,1.8655017370747293,-0.32659136815408807,0.7317000118707071,-0.43164252025271294,1.8742946105172773,-0.5170595020997721,-0.5875544715678787,0.5139560634601331,0.39087349518592523,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,2.252379964865858,-0.4671770020615892,1.1415685706677547,-0.31337738790246233
Calum Chambers,-0.4125022070114195,-0.2802687433851123,-0.26321992880593337,-0.3822766229237868,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.5336179390152189,-0.638437884312658,0.7855050545166862,1.1852124500634158,0.864300218636279,0.23749370363027192,-0.4214456030216018,1.547382993794685,1.2937169329402016,1.4638942479547554,0.3646300734682872,0.9392247140945649,0.8959351399380642,0.8655996837833163,0.2973944509946843,1.124720719568078,1.2178888071236051,0.6600011839268283,-0.23935370431421124,-0.7162966870728281,0.7400726683160406,-0.3604629892095599,0.08032120972452614,-0.3292205418832685,0.11802244697513235,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,1.1833282843485096,0.34849312303858954,0.6283302656668197,-0.6247019332725903
David Luiz,-0.1996631005686084,0.6362443003031035,-0.23458369083990557,-0.4238792242712718,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,0.11448778311107782,-0.638437884312658,1.764691022337279,0.6521446874118981,0.03160245752631454,1.404264876004331,0.3229023766373963,1.5411487946221973,1.5324378979777076,1.589350383629625,0.6903455860479045,0.9745625803766785,0.5952425657118503,0.4057064684357518,-0.16008719936003146,0.7667839703137234,0.6634130860924805,0.38029710988326954,0.3247489845374243,-0.49700205379973506,1.3883728857047652,0.1744625279975694,-0.6565930904757242,2.782768135063738,1.487954001056137,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,1.2456765119604196,1.286093318385702,0.9086712573503198,-0.5617681992690365
Sead Kolasinac,-0.5689254128072088,-0.5580867597531027,-0.646353043661754,-0.006010671342803704,-0.26568593573787624,-0.23988858084673156,-0.9128114529320066,-0.804664763796926,-0.6676923334991525,-0.3373519296073015,-0.638437884312658,0.9113533842915793,0.991376025890816,0.30215656221438036,-0.38779250476908567,-0.5094695424886658,0.14002428437478548,-0.0758235304397152,0.08891472838649582,-0.38761765796559106,0.681375422089564,0.2845935500638393,0.3472356396675961,0.0417834124951639,0.28353352540763965,0.26298603196814896,-0.32659136815408807,-0.0029324258091023465,1.0901624485163643,0.6291571849804836,1.4648574318419718,0.1221370031543364,-0.24958234372825333,-0.5171235610061038,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,0.5581973772108242,-0.4671770020615892,0.531823917717926,0.42969172797996585
Mesut Özil,0.8030618093319807,0.28140681144582486,-0.3569209623304547,2.242362432482061,-0.26568593573787624,0.5042679137682573,0.4744162223248753,0.7612933673267861,-0.27519479311263984,0.5425227194828257,0.7523815355594535,-0.7499851813959754,-0.7828357769876373,-0.46125034055821246,-0.38779250476908567,0.3795190347260747,-0.7095452552408291,-0.7616453746420427,-0.7625794368452412,-0.38761765796559106,0.490101853437102,0.17916501601850202,0.6668349151054358,1.507088967321508,-0.7123521963101465,-0.5196969138746234,-0.32659136815408807,-0.0849131471153999,3.395861751122594,1.9496124029623723,2.811593388149322,1.9910488949715741,4.841796486704438,-0.2105561080253697,-0.30018575678015247,-0.2578730036962974,-0.28477191070955965,-0.27639238025419116,-0.2556216653449443,-0.27665050159754107,-0.29755968250129206,-0.30058037170996754,-0.5345570478609354,-0.4671770020615892,-0.5992855518003619,1.7893317334641337
